backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,preconditioner,torch_version,gpytorch_version,pykeops_version,cuda_device
keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.20509483700152487,0.11864064598921686,1.638309273262785e-07,1.9055943390333408e-07,6.723153461820362e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,78,0.25279613901511766,0.10864586599927861,1.2847716013341125e-07,1.9055943390333408e-07,6.936013581804734e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml_nystrom,cuda,resident_inputs,512,8,4,float64,unknown,2,1e-08,500,11,  8.7090999999999991E-03,  7.7015499999999997E-03,  5.9259015941308941E-08,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.2851699169841595,0.07101903400325682,1.187293867087169e-07,1.9055943390333405e-07,5.5772049390609194e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.17589817600673996,0.17452256398973987,1.586324905230123e-07,1.9055943390333405e-07,6.0287931414428935e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,77,0.32741814298788086,0.16338514600647613,1.548369286253715e-07,1.9055943390333405e-07,6.93578503674717e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml_nystrom,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,35,  5.6405999999999998E-02,  4.3161949999999998E-02,  2.1123268557595921E-07,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,137,0.07967025702237152,0.049806108509073965,2.056846717686382e-07,2.4445942787824563e-07,6.186768237353463e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.4357595899782609,0.3496592404990224,1.4886660835067523e-07,2.4445942787824563e-07,5.545439043381306e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.46216684399405494,0.3069282549986383,2.1923517623989206e-07,2.4445942787824563e-07,1.6117648414388352e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml_nystrom,cuda,resident_inputs,1024,8,4,float64,unknown,2,1e-08,500,35,  4.4926800000000003E-02,  4.2688049999999998E-02,  2.1463599016380684E-07,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.3724061620014254,0.15833778900559992,2.386590510984314e-07,2.4445942787824563e-07,7.991335007494191e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.447259111009771,0.4383807190024527,2.3263678618214005e-07,2.4445942787824563e-07,7.530458787035525e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,135,0.5534496550098993,0.382823002000805,2.2757638838446622e-07,2.4445942787824563e-07,1.6070901231085138e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml_nystrom,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,58,  2.7291599999999999E-01,  2.5384845000000000E-01,  3.1070357857523676E-07,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,199,0.2354205049923621,0.1285328874946572,2.792310319170612e-07,3.473511542497323e-07,6.447984384168626e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,195,0.964329369016923,0.8660611944942502,3.2568445197803193e-07,3.473511542497323e-07,7.102307795118361e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,193,0.8833188560092822,0.7302870605053613,3.285776530331355e-07,3.473511542497323e-07,4.598428348540864e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml_nystrom,cuda,resident_inputs,2048,8,4,float64,unknown,2,1e-08,500,59,  2.0078889999999999E-01,  1.9600750000000000E-01,  3.4528567708561161E-07,,,,,pass,77d1f71c4879d8310a923d728af65b5028a6fd57,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,nystrom_rank_32,,,,
pytorch_dense,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,198,0.569653088983614,0.36074082349659875,3.231990452527902e-07,3.4735115424973237e-07,7.026921753512875e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,192,0.96537479799008,0.9620907249918673,3.4163605111865767e-07,3.4735115424973237e-07,8.800791622400764e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,196,1.0232029140170198,0.8499935750005534,3.1164646445949134e-07,3.4735115424973237e-07,4.60011459628145e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
