backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cuda,resident_inputs,512,8,4,float64,unknown,2,1e-08,500,76,,  3.5757999999999998E-02,  9.4754706653214163E-08,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",1,,,,
pytorch_dense,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.2830553490202874,0.07052408749586903,1.187293867087169e-07,1.9055943390333405e-07,5.5772049390609194e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.18104632900212891,0.17219236350501888,1.586324905230123e-07,1.9055943390333405e-07,6.0287931414428935e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,77,0.32604764998541214,0.1612542119983118,1.548369286253715e-07,1.9055943390333405e-07,6.93578503674717e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,138,,  1.6742000000000001E-01,  2.3249934735423409E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,137,0.076460356998723,0.05044666650064755,2.056846717686382e-07,2.4445942787824563e-07,6.186768237353463e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.44586424899171107,0.3479464724950958,1.4886660835067523e-07,2.4445942787824563e-07,5.545439043381306e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.4579636779963039,0.3096672649990069,2.1923517623989206e-07,2.4445942787824563e-07,1.6117648414388352e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,1024,8,4,float64,unknown,2,1e-08,500,134,,  9.9915950000000003E-02,  1.9635620646875962E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",1,,,,
pytorch_dense,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.37490055500529706,0.1570473985048011,2.386590510984314e-07,2.4445942787824563e-07,7.991335007494191e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.4480362989997957,0.45287061149429064,2.3263678618214005e-07,2.4445942787824563e-07,7.530458787035525e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,135,0.5777650630043354,0.3970328915020218,2.2757638838446622e-07,2.4445942787824563e-07,1.6070901231085138e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,195,,  1.2290769500000001E+00,  3.3389743316376985E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,199,0.26774419299908914,0.15848960750736296,2.792310319170612e-07,3.473511542497323e-07,6.447984384168626e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,195,0.9636894230206963,0.866870914993342,3.2568445197803193e-07,3.473511542497323e-07,7.102307795118361e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,193,0.8776206409966107,0.7176402309996774,3.285776530331355e-07,3.473511542497323e-07,4.598428348540864e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,2048,8,4,float64,unknown,2,1e-08,500,189,,  3.2828449999999998E-01,  3.4693946680566791E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",1,,,,
pytorch_dense,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,198,0.5688042560068425,0.35686610848642886,3.231990452527902e-07,3.4735115424973237e-07,7.026921753512875e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,192,0.96439275299781,0.9624457214958966,3.4163605111865767e-07,3.4735115424973237e-07,8.800791622400764e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,196,1.028903853992233,0.8459639134962345,3.1164646445949134e-07,3.4735115424973237e-07,4.60011459628145e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
