backend,device,residency,n_samples,n_features,dtype,threads,repetitions,tolerance,max_iterations,iterations,setup_seconds,seconds_per_solve,reported_residual_norm,target_residual_norm,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,torch_version,gpytorch_version,pykeops_version,cuda_device
keops,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.18480448698392138,0.09637526750157122,1.6224362405485205e-07,1.898386273936029e-07,8.546396218653746e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,512,8,float64,16,2,1e-08,500,76,0.2410280350013636,0.08168304350692779,1.26862092083246e-07,1.898386273936029e-07,6.5686563346451e-08,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,512,8,float64,unknown,2,1e-08,500,76,,  1.2570949999999999E-02,  7.8108741808023363E-08,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,76,0.15686878899578005,0.014150622999295592,7.827428808004642e-08,1.898386273936029e-07,4.123201132823362e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,77,0.11310842199600302,0.11074440150696319,9.703828491344848e-08,1.898386273936029e-07,5.111620911888956e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,77,0.26987630099756643,0.09546227549435571,1.2076311595020132e-07,1.898386273936029e-07,6.5623625394928e-08,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,133,,  3.2506449999999999E-02,  1.3567918842491051E-07,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,134,0.0777705830114428,0.02020868699764833,2.3093834853684844e-07,2.4366509577662816e-07,9.477700320310936e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,135,0.38144692199421115,0.2870626740041189,1.9896886260879335e-07,2.4366509577662816e-07,8.165672419422239e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,135,0.38706973000080325,0.23410926549695432,1.3918713045528527e-07,2.4366509577662816e-07,1.675275355977253e-07,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,1024,8,float64,unknown,2,1e-08,500,132,,  4.5635450000000001E-02,  1.2832195365627323E-07,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,131,0.16930974597926252,0.02381159299693536,2.0197387647111036e-07,2.4366509577662816e-07,8.28899652182554e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,135,0.3122211839945521,0.30816497300111223,1.3866113354010916e-07,2.4366509577662816e-07,5.6906495782206e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,138,0.4260883440147154,0.2578279259905685,1.8974743926188206e-07,2.4366509577662816e-07,1.6829021517720516e-07,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,190,,  1.6782649999999999E-01,  2.3083821339870849E-07,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,194,0.22183741501066834,0.11089970200555399,2.0980987398576952e-07,3.4579506776049174e-07,6.0674742516834305e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,189,0.8554025840130635,0.7472185600054218,3.021641898562021e-07,3.4579506776049174e-07,8.738248936208395e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,188,0.7391442740045022,0.576711196496035,3.1800658086896153e-07,3.4579506776049174e-07,4.6748468611978825e-07,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,2048,8,float64,unknown,2,1e-08,500,185,,  1.9103955000000000E-01,  2.9666086835202947E-07,,,,,pass,e3068a343fa991cc9bf300643e460dab0ad6af6d,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,
pytorch_dense,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,184,0.1877778339840006,0.03688624200003687,2.9804204103520436e-07,3.4579506776049174e-07,8.619034297458504e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,190,0.7736148620024323,0.7762609790079296,2.9674247855483314e-07,3.4579506776049174e-07,8.581468232141556e-09,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,190,0.803454453998711,0.6071532655041665,3.306432474920758e-07,3.4579506776049174e-07,4.6680610780539614e-07,5e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
