activation,backend,device,status,n_samples,n_features,n_hidden,n_outputs,repetitions,seconds_per_operation,checksum,expected_checksum,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gelu,fortml,cpu,pass,2048,8,32,4,32,0.00178269078125,-496.4333928965767,-496.4333928965792,2.5011104298755527e-12,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
gelu,fortml,cuda,unavailable,2048,8,32,4,32,,,-496.4333928965792,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
silu,numpy_oracle,cpu,pass,2048,8,32,4,1,,-484.60845387324434,-484.60845387324434,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
silu,fortml,cpu,pass,2048,8,32,4,32,0.00123003915625,-484.608453873244,-484.60845387324434,3.410605131648481e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
silu,fortml,cuda,unavailable,2048,8,32,4,32,,,-484.60845387324434,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
elu,numpy_oracle,cpu,pass,2048,8,32,4,1,,-526.482205839888,-526.482205839888,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
elu,fortml,cpu,pass,2048,8,32,4,32,0.00113859759375,-526.4822058398884,-526.482205839888,3.410605131648481e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
elu,fortml,cuda,unavailable,2048,8,32,4,32,,,-526.482205839888,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
softplus,numpy_oracle,cpu,pass,2048,8,32,4,1,,61.38619985819429,61.38619985819429,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
softplus,fortml,cpu,pass,2048,8,32,4,32,0.001453897875,61.38619985819391,61.38619985819429,3.765876499528531e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
softplus,fortml,cuda,unavailable,2048,8,32,4,32,,,61.38619985819429,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
leaky_relu,numpy_oracle,cpu,pass,2048,8,32,4,1,,-540.4175057465274,-540.4175057465274,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
leaky_relu,fortml,cpu,pass,2048,8,32,4,32,0.0010397436875,-540.4175057465264,-540.4175057465274,9.094947017729282e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
leaky_relu,fortml,cuda,unavailable,2048,8,32,4,32,,,-540.4175057465274,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
sigmoid,numpy_oracle,cpu,pass,2048,8,32,4,1,,-52.2887674279949,-52.2887674279949,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
sigmoid,fortml,cpu,pass,2048,8,32,4,32,0.0012135511875,-52.28876742799467,-52.2887674279949,2.2737367544323206e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
sigmoid,fortml,cuda,unavailable,2048,8,32,4,32,,,-52.2887674279949,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
mish,numpy_oracle,cpu,pass,2048,8,32,4,1,,-499.996561888054,-499.996561888054,0.0,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,
mish,fortml,cpu,pass,2048,8,32,4,32,0.00263583190625,-499.9965618880537,-499.996561888054,2.8421709430404007e-13,independent NumPy dense MLP activation checksum,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,host resident MLP forward timing
mish,fortml,cuda,unavailable,2048,8,32,4,32,,,-499.996561888054,,FortML device capability boundary,3.14.6,2.5.1,9570ea1fa6a34372dec180a885133d2c157c10b5,609926d78a6d4313b31fc6d4d13f3c6dfc80dba4,gfortran,-O3,MLP activation forward path is host-only; no CPU timing relabeled as CUDA
