workload,n_samples,n_features,n_outputs,n_test,n_inducing,repetitions,seconds_per_call,relative_error,backend,device,status,warmups,setup_seconds,build_seconds,peak_memory_bytes,executable_bytes,oracle,threads,cpu_affinity,compiler,compiler_version,flags,python_version,numpy_version,torch_version,gpytorch_version,cuda_version,cpu_model,gpu_model,driver_version,os,fortml_revision,fortnum_revision,benchmark_revision,fortml_diff_sha256,driver_sha256,app_sha256,lanczos_source_sha256,notes
derivative,48,1,2,24,0,3,0.0008453160019901892,6.925597911930549e-16,pytorch_dense,cuda,pass,1,0.0998826930008363,0.0,33691136,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; reset CUDA allocation peak
derivative,48,1,2,24,0,3,,,fortml,cuda,unsupported,0,,3.064682147989515,,897416,not_applicable,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,FortML workload has no device-resident public path
multi_output,24,1,3,12,0,3,5.2652666666666665E-05,1.6776110547033911e-15,fortml,cpu,pass,1,,3.064682147989515,8695808,897416,independent_numpy_full_output,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,host public API; internal check error=2.1094237467877974E-15
multi_output,24,1,3,12,0,3,0.00016255299366700152,1.5789280514855448e-15,pytorch_dense,cpu,pass,1,0.0002143440069630742,0.0,795099136,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; isolated-process max RSS
multi_output,24,1,3,12,0,3,0.00046812199677030247,1.4802450482676982e-15,pytorch_dense,cuda,pass,1,0.09643878400675021,0.0,33724416,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; reset CUDA allocation peak
multi_output,24,1,3,12,0,3,,,fortml,cuda,unsupported,0,,3.064682147989515,,897416,not_applicable,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,FortML workload has no device-resident public path
variational,64,1,1,20,12,3,4.7643333333333332E-05,1.781280003338408e-11,fortml,cpu,pass,1,,3.064682147989515,6496256,897416,independent_numpy_full_output,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,host public API; internal check error=1.9182655464078380E-11
variational,64,1,1,20,12,3,0.0002617696688200037,8.570643700248674e-12,pytorch_dense,cpu,pass,1,0.0002142240118701011,0.0,794550272,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; isolated-process max RSS
variational,64,1,1,20,12,3,0.0009066250058822334,1.6936415607161637e-11,pytorch_dense,cuda,pass,1,0.09780840500025079,0.0,33594880,not_applicable,independent_numpy_dense_linear_algebra,1,0,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,deterministic tensors and immutable parameters prepared before timing; reset CUDA allocation peak
variational,64,1,1,20,12,3,,,fortml,cuda,unsupported,0,,3.064682147989515,,897416,not_applicable,1,0,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,39ccd9f0b96da835d13b376cd7d67e6d00bdb7174a8f32e8dc04f2c53b5b14d5,454626e51cf86f37cb6a9539a46a3e74074805fbee088b096e35e1e44cbdc7f5,0ee38e71675c64be7eff0abae8efabec6f87da0804d17a912c6af281c4b4489c,FortML workload has no device-resident public path
