backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cuda,resident_inputs,512,8,4,float64,unknown,2,1e-08,500,76,,  4.1965450000000001E-02,  9.6061798077548049E-08,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.28314675600267947,0.07129748348961584,1.187293867087169e-07,1.9055943390333405e-07,5.5772049390609194e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.1761836880177725,0.17442164300882723,1.586324905230123e-07,1.9055943390333405e-07,6.0287931414428935e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,77,0.33440227498067543,0.1635718835022999,1.548369286253715e-07,1.9055943390333405e-07,6.93578503674717e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,,  1.5112900000000001E-01,  1.7142270747929659E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,137,0.07954070597770624,0.049607503999141045,2.056846717686382e-07,2.4445942787824563e-07,6.186768237353463e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.42848788798437454,0.34234365400334354,1.4886660835067523e-07,2.4445942787824563e-07,5.545439043381306e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,1024,8,4,float64,16,2,1e-08,500,136,0.44952764199115336,0.2989516715024365,2.1923517623989206e-07,2.4445942787824563e-07,1.6117648414388352e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,1024,8,4,float64,unknown,2,1e-08,500,133,,  1.4102899999999999E-01,  1.7178909630566394E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.3647439159976784,0.15472076600417495,2.386590510984314e-07,2.4445942787824563e-07,7.991335007494191e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,137,0.44489308999618515,0.44339900399791077,2.3263678618214005e-07,2.4445942787824563e-07,7.530458787035525e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,1024,8,4,float64,1,2,1e-08,500,135,0.555458434013417,0.38514643048984,2.2757638838446622e-07,2.4445942787824563e-07,1.6070901231085138e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,193,,  8.3412154999999999E-01,  3.2615885244912828E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,199,0.23530132099404,0.12886989051185083,2.792310319170612e-07,3.473511542497323e-07,6.447984384168626e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,195,0.9532906179956626,0.8605784230021527,3.2568445197803193e-07,3.473511542497323e-07,7.102307795118361e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,2048,8,4,float64,16,2,1e-08,500,193,0.8937682019895874,0.7264381764980499,3.285776530331355e-07,3.473511542497323e-07,4.598428348540864e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,2048,8,4,float64,unknown,2,1e-08,500,190,,  5.7596190000000003E-01,  2.7967216831649904E-07,,,,,pass,e0c9a853d1509117e3d8d65ac91c996d0f52e12d,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,198,0.5669507089769468,0.35553812500438653,3.231990452527902e-07,3.4735115424973237e-07,7.026921753512875e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,192,0.9580835480010137,0.9581699315021979,3.4163605111865767e-07,3.4735115424973237e-07,8.800791622400764e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,2048,8,4,float64,1,2,1e-08,500,196,1.0221117550099734,0.8432240220136009,3.1164646445949134e-07,3.4735115424973237e-07,4.60011459628145e-07,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
