workload,phase,backend,device,status,n_samples,n_features,n_hidden,n_estimators,repetitions,seconds_per_operation,metric,value,mse,max_abs_error,oracle,python_version,numpy_version,sklearn_version,torch_version,jax_version,xgboost_version,fortml_revision,benchmark_revision,compiler,flags,notes
cart_classifier,fit,fortml,cpu,pass,128,2,,,8,0.000125199625,accuracy,1.0,,0.0,independent NumPy exhaustive recursive Gini CART,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,"max_depth=3; min_samples_leaf=3; classes=[-3, 7]; nodes=3"
cart_classifier,predict,fortml,cpu,pass,128,2,,,64,7.503125e-07,probability_sum,128.0,,0.0,independent NumPy exhaustive recursive Gini CART,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,piecewise-constant class probabilities; input derivatives are intentionally outside the classifier contract
decision_stump,fit,fortml,cpu,pass,128,2,,,8,4.5996625e-05,mse,0.01254599131397361,0.01254599131397361,9.237055564881302e-14,independent exhaustive NumPy split search,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,feature=1; threshold=9.4488188976378007e-02
decision_stump,predict,fortml,cpu,pass,128,2,,,64,2.60796875e-07,prediction_sum,43.62121219974757,,9.237055564881302e-14,independent exhaustive NumPy split search,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,piecewise constant prediction; JVP is zero away from split
gradient_boosting_regressor,fit,fortml,cpu,pass,128,2,,16,8,0.000747105375,mse,0.06647611998075403,0.06647611998075403,9.237055564881302e-14,independent NumPy sequential residual-stump boosting,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,learning_rate=0.1; min_samples_leaf=3
gradient_boosting_regressor,predict,fortml,cpu,pass,128,2,,16,64,3.306859375e-06,prediction_sum,43.62121219974761,,9.237055564881302e-14,independent NumPy sequential residual-stump boosting,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,input JVP defined away from split boundaries
mlp_training,fit,sklearn,cpu,pass,96,3,8,,1,0.015512391022639349,final_mse,0.004149083666913492,0.004149083666913492,,NumPy fixture; sklearn Adam implementation,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,"estimator initialization differs; quality is contextual, not bitwise"
cart_classifier,fit,sklearn,cpu,pass,128,2,,,1,0.0006369400070980191,accuracy,1.0,,,NumPy fixture; sklearn DecisionTreeClassifier,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,max_depth=3; min_samples_leaf=3; criterion=gini
cart_classifier,predict,sklearn,cpu,pass,128,2,,,1,0.00010777401621453464,probability_sum,128.0,,,NumPy fixture; sklearn DecisionTreeClassifier,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,classifier split/probability policy is contextual
cart_regressor,fit,sklearn,cpu,pass,128,2,,,1,0.0005572499940171838,mse,0.0004564795134272737,0.0004564795134272737,,NumPy fixture; sklearn DecisionTreeRegressor,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,max_depth=3; min_samples_leaf=3
cart_regressor,predict,sklearn,cpu,pass,128,2,,,1,0.00011003800318576396,prediction_sum,43.62121219974763,,,NumPy fixture; sklearn DecisionTreeRegressor,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,sklearn tree prediction is contextual; split ties may differ
gradient_boosting_regressor,fit,sklearn,cpu,pass,128,2,,16,1,0.00488244098960422,mse,0.06647611998075406,0.06647611998075406,,NumPy fixture; sklearn GradientBoostingRegressor,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,depth-1 trees and matched learning rate/min leaf
gradient_boosting_regressor,predict,sklearn,cpu,pass,128,2,,16,1,0.00019507799879647791,prediction_sum,43.621212199747646,,,NumPy fixture; sklearn GradientBoostingRegressor,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,sklearn prediction comparison is not a differentiability claim
mlp_training,dependency_check,torch,cpu,unavailable,,,,,,,,,,,dependency availability,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,PyTorch comparison is optional here; use bench_model_workloads.py for product-level MLP forward/VJP parity
mlp_training,dependency_check,jax,cpu,unavailable,,,,,,,,,,,dependency availability,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,JAX training lane is not enabled in this release harness; refusal is explicit
gradient_boosting_regressor,dependency_check,xgboost,cpu,unavailable,,,,,,,,,,,dependency availability,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,a40597fe6bb86c0aa6f3125b69e75a5423102b16,d5f6312186bcd7e7250badb0fe0e1efe5ad6a25a+dirty,gfortran,-O3,XGBoost is optional; this lane reports availability without equating stump boosting to XGBoost
