workload,phase,backend,device,status,n_samples,n_features,n_hidden,n_outputs,n_test,dtype,threads,cpu_affinity,repetitions,warmups,seconds_per_operation,setup_seconds,build_seconds,peak_rss_kib,peak_device_bytes,executable_bytes,max_abs_error,correctness_oracle,compiler,compiler_version,flags,python_version,numpy_version,torch_version,gpytorch_version,cuda_version,cpu_model,gpu_model,driver_version,os,fortml_revision,fortnum_revision,benchmark_revision,fortml_diff_sha256,driver_sha256,app_sha256,notes
mlp,vjp,fortml_nvfortran,cpu,pass,512,16,32,4,0,float64,1,0,32,1,0.000832028125,,67.92171487299493,15620,0,146288,3.241851231905457e-14,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,serial host implementation; release fo build
mlp,forward,fortml_nvfortran,cuda,unsupported,512,16,32,4,0,float64,1,0,0,0,,,67.92171487299493,,,146288,,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,FortML exact-GP and MLP apps have no device-resident implementation
mlp,vjp,fortml_nvfortran,cuda,unsupported,512,16,32,4,0,float64,1,0,0,0,,,67.92171487299493,,,146288,,independent_numpy_full_output,nvfortran,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3,-O3 -mp=multicore,3.14.6,2.5.1,,,,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,5dc154687ab85ca05f5c7dc4842e190467fe6dffa64623f97249f25d444dd98e,FortML exact-GP and MLP apps have no device-resident implementation
exact_gp,fit,gpytorch_exact,cpu,pass,128,4,0,2,32,float64,1,0,8,2,0.00039282524812733755,0.15651475000777282,0.0,824632,0,not_applicable,6.027971233280027e-09,independent_numpy_dense_solve,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,GPyTorch RBF kernel with matched dense Cholesky and solves
exact_gp,predict,gpytorch_exact,cpu,pass,128,4,0,2,32,float64,1,0,32,2,0.0004922418747810298,0.15651475000777282,0.0,824632,0,not_applicable,6.027971233280027e-09,independent_numpy_dense_solve,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,GPyTorch RBF kernel with matched dense Cholesky and solves
mlp,forward,pytorch,cpu,pass,512,16,32,4,0,float64,1,0,64,2,0.00012435353119144565,9.634101297706366e-05,0.0,806708,0,not_applicable,3.3306690738754696e-16,independent_numpy_explicit_forward_and_vjp,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,explicit tanh network; VJP includes forward graph construction
mlp,vjp,pytorch,cpu,pass,512,16,32,4,0,float64,1,0,32,2,0.00033055471885745646,9.634101297706366e-05,0.0,806708,0,not_applicable,3.907985046680551e-14,independent_numpy_explicit_forward_and_vjp,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,explicit tanh network; VJP includes forward graph construction
exact_gp,fit,gpytorch_exact,cuda,pass,128,4,0,2,32,float64,1,0,8,2,0.0006927866234036628,0.3006339860148728,0.0,1536476,34094592,not_applicable,6.027972787592262e-09,independent_numpy_dense_solve,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,GPyTorch RBF kernel with matched dense Cholesky and solves
exact_gp,predict,gpytorch_exact,cuda,pass,128,4,0,2,32,float64,1,0,32,2,0.0008080741872618091,0.3006339860148728,0.0,1536476,33904128,not_applicable,6.027972787592262e-09,independent_numpy_dense_solve,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,GPyTorch RBF kernel with matched dense Cholesky and solves
mlp,forward,pytorch,cuda,pass,512,16,32,4,0,float64,1,0,64,2,5.4434125104307896e-05,0.08769599001971073,0.0,1176648,67546112,not_applicable,1.1102230246251565e-16,independent_numpy_explicit_forward_and_vjp,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,explicit tanh network; VJP includes forward graph construction
mlp,vjp,pytorch,cuda,pass,512,16,32,4,0,float64,1,0,32,2,0.00035949237553722924,0.08769599001971073,0.0,1176648,67695104,not_applicable,3.2862601528904634e-14,independent_numpy_explicit_forward_and_vjp,python,,torch.set_num_threads(1),3.14.6,2.5.1,2.13.0+cu130,1.15.2,13.0,AMD Ryzen 9 5950X 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,610.43.03,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,c7f80b8067df83c930a913af707fe46975051f17ed8d31c751ad2a91902d9e32,not_applicable,explicit tanh network; VJP includes forward graph construction
