backend,device,residency,n_samples,radius,rhs,dtype,threads,repetitions,setup_seconds,seconds_per_operation,relative_error,status,compiler,flags,torch_version,pykeops_version,cuda_device,nonzeros,storage_bytes,source_commit
keops,cuda,resident,4096,8,4,float64,1,12,0.00556007499108091,0.003977097333214867,1.856243086003828e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,69560,,fortml-bench=f307331
keops,cuda,transfer,4096,8,4,float64,1,12,0.004167300998233259,0.004050489667861257,1.856243086003828e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,69560,,fortml-bench=f307331
pytorch_dense,cuda,resident,512,8,4,float64,1,20,0.05703283302136697,0.00013098380004521458,3.399647294499329e-16,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,8632,,fortml-bench=f307331
pytorch_dense,cuda,transfer,512,8,4,float64,1,20,0.0006211209984030575,0.00018472305091563613,3.399647294499329e-16,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,8632,,fortml-bench=f307331
keops,cuda,resident,512,8,4,float64,1,20,0.0023431750014424324,0.0008500846000970341,1.8564408408800503e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,8632,,fortml-bench=f307331
keops,cuda,transfer,512,8,4,float64,1,20,0.0009906369959935546,0.0009071360997040756,1.8564408408800503e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,8632,,fortml-bench=f307331
pytorch_dense,cuda,resident,8192,8,4,float64,1,4,nan,nan,nan,oom,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,139192,,fortml-bench=f307331
pytorch_dense,cuda,transfer,8192,8,4,float64,1,4,nan,nan,nan,oom,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,139192,,fortml-bench=f307331
keops,cuda,resident,8192,8,4,float64,1,4,0.016344383999239653,0.014468962748651393,1.8562425365031824e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,139192,,fortml-bench=f307331
keops,cuda,transfer,8192,8,4,float64,1,4,0.014890004007611424,0.014726210247317795,1.8562425365031824e-07,pass,python,torch.set_num_threads(1),2.13.0+cu130,2.3,NVIDIA GeForce RTX 5060 Ti,139192,,fortml-bench=f307331
