backend,device,residency,n_samples,n_features,dtype,threads,repetitions,tolerance,max_iterations,iterations,setup_seconds,seconds_per_solve,reported_residual_norm,target_residual_norm,independent_relative_residual,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,torch_version,gpytorch_version,pykeops_version,cuda_device,independent_residual_limit
gpytorch_keops,cuda,resident_inputs,512,8,float64,1,2,1e-08,500,77,0.29835259000537917,0.09916943148709834,1.2076311595020132e-07,1.898386273936029e-07,6.5623625394928e-08,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
fortml,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,135,,  3.3575500000000001E-02,  1.2406275782235997E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,134,0.06701466999948025,0.020563305995892733,2.3093834853684844e-07,2.4366509577662816e-07,9.477700320310936e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
keops,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,135,0.3790123119833879,0.287139397507417,1.9896886260879335e-07,2.4366509577662816e-07,8.165672419422239e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
gpytorch_keops,cpu,resident_inputs,1024,8,float64,16,2,1e-08,500,135,0.3920306910004001,0.23585517700121272,1.3918713045528527e-07,2.4366509577662816e-07,1.675275355977253e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
fortml,cuda,resident_inputs,1024,8,float64,unknown,2,1e-08,500,133,,  4.9337499999999999E-02,  1.3959001385525996E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,131,0.1700963490002323,0.024909575004130602,2.0197387647111036e-07,2.4366509577662816e-07,8.28899652182554e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
keops,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,135,0.3179678710002918,0.31357525900239125,1.3866113354010916e-07,2.4366509577662816e-07,5.6906495782206e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
gpytorch_keops,cuda,resident_inputs,1024,8,float64,1,2,1e-08,500,138,0.43213602900505066,0.2603805834951345,1.8974743926188206e-07,2.4366509577662816e-07,1.6829021517720516e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
fortml,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,190,,  1.6874739999999999E-01,  2.9941903835880180E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,194,0.2222769979853183,0.10830756998620927,2.0980987398576952e-07,3.4579506776049174e-07,6.0674742516834305e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
keops,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,189,0.8333267889975104,0.7307099214958725,3.021641898562021e-07,3.4579506776049174e-07,8.738248936208395e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
gpytorch_keops,cpu,resident_inputs,2048,8,float64,16,2,1e-08,500,188,0.7442302120034583,0.5779737584962277,3.1800658086896153e-07,3.4579506776049174e-07,4.6748468611978825e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,
fortml,cuda,resident_inputs,2048,8,float64,unknown,2,1e-08,500,190,,  2.1776055000000000E-01,  1.3981318279944537E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,184,0.1874381350062322,0.03709304649964906,2.9804204103520436e-07,3.4579506776049174e-07,8.619034297458504e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
keops,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,190,0.7812034680100624,0.774357473506825,2.9674247855483314e-07,3.4579506776049174e-07,8.581468232141556e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
gpytorch_keops,cuda,resident_inputs,2048,8,float64,1,2,1e-08,500,190,0.810987107019173,0.6106387070030905,3.306432474920758e-07,3.4579506776049174e-07,4.6680610780539614e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,
fortml,cpu,resident_inputs,4096,8,float64,16,1,1e-08,500,253,,  8.5112710000000003E-01,  4.5950143791609639E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cpu,resident_inputs,4096,8,float64,16,1,1e-08,500,254,1.3064913779962808,0.9239546209864784,3.9299850166438427e-07,4.809865249748075e-07,8.170659304610987e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,1e-06
keops,cpu,resident_inputs,4096,8,float64,16,1,1e-08,500,254,1.94166410798789,1.8450897799921222,3.5777335619376467e-07,4.809865249748075e-07,7.43828810051449e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,1e-06
gpytorch_keops,cpu,resident_inputs,4096,8,float64,16,1,1e-08,500,253,1.6093611739925109,1.4394631480099633,4.6727624762931226e-07,4.809865249748075e-07,8.601586752825304e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,cpu,1e-06
fortml,cuda,resident_inputs,4096,8,float64,unknown,1,1e-08,500,257,,  1.0738357999999999E+00,  1.8241793295540272E-07,,,,pass,a632f447705c21d704018098beae5bb3e2588e9f,5fba327a2b49e105104e97271d4d9c6effac11aa,dense_solve_in_fortml_test_and_converged_residual,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",,,,,
pytorch_dense,cuda,resident_inputs,4096,8,float64,1,1,1e-08,500,,nan,nan,nan,nan,nan,nan,oom,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,1e-06
keops,cuda,resident_inputs,4096,8,float64,1,1,1e-08,500,255,1.931214028998511,1.8778950039995834,4.060274389893473e-07,4.809865249748076e-07,8.44154341428484e-09,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,1e-06
gpytorch_keops,cuda,resident_inputs,4096,8,float64,1,1,1e-08,500,254,1.6778844890068285,1.4495594720065128,3.470252035475694e-07,4.809865249748076e-07,8.602006902161435e-07,nan,pass,,,blocked_numpy_matvec_and_small_dense_solve,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti,1e-06
