workload,backend,device,residency,n_samples,n_features,dtype,threads,repetitions,setup_seconds,seconds_per_mvm,relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,torch_version,gpytorch_version,pykeops_version,cuda_device
rbf_plus_constant,keops,cuda,transfer,512,8,float64,1,5,0.0014310260012280196,0.001322593801887706,1.177464405478403e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,512,8,float64,1,5,0.17184312699828297,0.0016388398013077675,8.742397933351663e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,512,8,float64,1,5,0.0016088709817267954,0.0015744022035505622,8.742397933351663e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,fortml_composite,cpu,cpu,1024,8,float64,16,5,,  3.3601999999999997E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,1024,8,float64,16,5,0.022127550997538492,0.021912673400947824,2.121601554608136e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,1024,8,float64,16,5,0.09448084101313725,0.0021143595979083328,1.6694569610031233e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,1024,8,float64,16,5,0.15507057699142024,0.0020504051994066686,1.2654330174363262e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,1024,8,float64,unknown,5,,  3.0697999999999999E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,1024,8,float64,unknown,5,,  2.7955999999999999E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,1024,8,float64,1,5,0.10205218498595059,0.0010191200010012836,8.521186571786776e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,1024,8,float64,1,5,0.001331298000877723,0.001056055596563965,8.521186571786776e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,1024,8,float64,1,5,0.0034897949954029173,0.0021263602015096695,1.6694569610031233e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,transfer,1024,8,float64,1,5,0.002277991996379569,0.0021656344004441054,1.6694569610031233e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,1024,8,float64,1,5,0.1701069569971878,0.002236439596163109,1.2654330174363262e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,1024,8,float64,1,5,0.0022331069922074676,0.002204914396861568,1.2654330174363262e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,fortml_composite,cpu,cpu,2048,8,float64,16,5,,  1.1993800000000001E-03,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,2048,8,float64,16,5,0.09098360099596903,0.0937741146015469,2.3293733037655242e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,2048,8,float64,16,5,0.09217918399372138,0.003854373999638483,1.38306539911078e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,2048,8,float64,16,5,0.15724311899975874,0.003340399597072974,1.1876373119085222e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,2048,8,float64,unknown,5,,  1.0313799999999999E-03,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,2048,8,float64,unknown,5,,  9.9337999999999987E-04,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,2048,8,float64,1,5,0.11573703799513169,0.004316593002295121,1.0191008203974169e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,2048,8,float64,1,5,0.004690016008680686,0.004383745399536565,1.0191008203974169e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,2048,8,float64,1,5,0.005242056009592488,0.00382806439884007,1.38306539911078e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,transfer,2048,8,float64,1,5,0.0039733260055072606,0.0038552116020582616,1.38306539911078e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,2048,8,float64,1,5,0.174879027006682,0.0036362789978738874,1.1876373264671053e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,2048,8,float64,1,5,0.003610853018471971,0.003718555998057127,1.1876373264671053e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,fortml_composite,cpu,cpu,4096,8,float64,16,5,,  2.9145999999999998E-03,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,4096,8,float64,16,5,0.33947327599162236,0.34090419799904337,3.522155332792918e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,4096,8,float64,16,5,0.09468248998746276,0.007209805800812319,1.891527863907308e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,4096,8,float64,16,5,0.15651740098837763,0.00596037779469043,1.1582942416646126e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,4096,8,float64,unknown,5,,  3.6417799999999998E-03,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,4096,8,float64,unknown,5,,  3.5737799999999999E-03,0.0,pass,76c94d4f2d5c75fdd4de1c0c0987df5d4b421937,73e8965c9891a7a6256981a6509edd36ec26a9b4,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,4096,8,float64,1,5,nan,nan,nan,oom,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,4096,8,float64,1,5,nan,nan,nan,oom,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,4096,8,float64,1,5,0.008612816978711635,0.007293593598296866,1.891527863907308e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,transfer,4096,8,float64,1,5,0.007431652018567547,0.007218925200868398,1.891527863907308e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,4096,8,float64,1,5,0.18228826599079184,0.006055358599405735,1.158294267754652e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,4096,8,float64,1,5,0.006083661981392652,0.006068723998032511,1.158294267754652e-08,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
