workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,microbatch_size,accumulation_steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,gradient_2,0.002032991681095695,5.880261555457622e-13,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,gradient_3,-0.06541324362965142,8.42378944376776e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,jvp,deterministic_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,directional_validation_mse_derivative,-0.02610206976221285,7.028513188123142e-12,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,hvp_1,0.06381493251198576,1.2366933019314352e-08,independent NumPy nested central-FD trajectory oracle,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,hvp_2,-0.002190650524915218,1.7867003911532092e-08,independent NumPy nested central-FD trajectory oracle,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,hvp_3,0.0667863905376462,1.3343559285283746e-08,independent NumPy nested central-FD trajectory oracle,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
mlp_sgd_momentum_hypergradient,value_gradient,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,validation_mse,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,gradient_1,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,gradient_2,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,gradient_3,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,jvp,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,directional_validation_mse_derivative,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,hvp_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,hvp_1,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,hvp_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,hvp_2,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
mlp_sgd_momentum_hypergradient,hvp_component,deterministic_accumulation,fortml,cuda,unavailable,5,3,3,4,2,3,16,,hvp_3,,,FortML release-app protocol,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,complete SGD momentum MLP hypergradient is CPU-only until resident state derivatives exist
