sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,status,claimed_order,method_order,partition,ski_grid_budget,ski_axis_extent,ski_grid_points,notes,correctness_oracle,repetitions,threads,cpu_affinity,cpu_model,os,compiler,compiler_version,flags,build_seconds,fortml_commit,fortnum_commit,benchmark_commit,fortml_diff_sha256,driver_sha256,app_sha256,local_experts_sha256,ski_source_sha256
experts,2,grbcm,1024,64,2,1,8.55401380E-02,1.85730117E-01,26280.0,1.61255280E-02,-1.92163521E+00,pass,"O(n m0^2) train plus one global expert (Sec. IV-C, eq. 29)",18,seeded_communication+contiguous_remainder,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,grbcm_clustered,1024,64,2,1,8.41334970E-02,1.84017431E-01,26576.0,1.61255280E-02,-1.92163521E+00,pass,"O(n m0^2) train plus one global expert (Sec. IV-C, eq. 29); plus Lloyd partition O(I n M d)",19,seeded_communication+deterministic_lloyd_remainder,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,moe,1024,64,2,1,2.37771190E-02,7.79950820E-02,14108.0,1.98704581E-02,-8.88026948E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-B)",20,contiguous_input_order,,,,,test_local_experts;test_review_toy,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,2,moe_clustered,1024,64,2,1,2.40979940E-02,7.78284280E-02,14144.0,1.98704581E-02,-8.88026948E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-B); plus Lloyd partition O(I n M d)",21,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,nle,1024,64,4,1,7.81604600E-03,4.55173000E-02,9296.0,1.82588315E-02,-1.86939702E+00,pass,O(M m0^3) = O(n m0^2) train (Sec. IV-A),8,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,nle_clustered,1024,64,4,1,8.26183700E-03,4.49759600E-02,9200.0,1.83119098E-02,-1.86880238E+00,pass,O(M m0^3) = O(n m0^2) train (Sec. IV-A); plus Lloyd partition O(I n M d),9,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,poe,1024,64,4,1,7.81812100E-03,4.54935650E-02,9036.0,1.75507106E-02,-1.88561373E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",10,contiguous_input_order,,,,,test_local_experts;test_review_toy,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,poe_clustered,1024,64,4,1,8.55852500E-03,4.52096910E-02,8992.0,1.80578937E-02,-1.86074525E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",11,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,gpoe,1024,64,4,1,7.66858800E-03,4.49077720E-02,9204.0,1.76447224E-02,-1.89761545E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",12,contiguous_input_order,,,,,test_local_experts;test_review_toy,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,gpoe_clustered,1024,64,4,1,8.14761100E-03,4.47139160E-02,8984.0,1.77215548E-02,-1.88628512E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",13,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,bcm,1024,64,4,1,7.96095900E-03,4.57726710E-02,9232.0,1.76434851E-02,-1.88399306E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",14,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,bcm_clustered,1024,64,4,1,8.63804500E-03,4.46072850E-02,9072.0,1.81571254E-02,-1.85927655E+00,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",15,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,rbcm,1024,64,4,1,8.11831600E-03,4.57126580E-02,9076.0,1.76856701E-02,-6.67664563E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C)",16,contiguous_input_order,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,rbcm_clustered,1024,64,4,1,8.51374100E-03,4.55869310E-02,8820.0,1.77680617E-02,-6.30233105E-01,pass,"O(n m0^2) train, O(M m0^2) predict (Sec. IV-C); plus Lloyd partition O(I n M d)",17,deterministic_lloyd,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
experts,4,grbcm,1024,64,4,1,3.80345020E-02,1.28993018E-01,16920.0,1.92298353E-02,-1.88812621E+00,pass,"O(n m0^2) train plus one global expert (Sec. IV-C, eq. 29)",18,seeded_communication+contiguous_remainder,,,,,test_local_experts,3,1,0,AMD Ryzen 9 5950X 16-Core Processor,Linux-7.1.5-1-cachyos-x86_64-with-glibc2.44,gfortran,GNU Fortran (GCC) 16.1.1 20260728,-O3 -funroll-loops,3.174083240010077,fd86bb602564ad47f033d9e57269f09fbd8e0217+dirty,068367a0c98166af1f8d334e08b9dd0b360a3a6f,2e94872310ec4dde17e20b83a32219ca10b10124+dirty,00eb6ec7870cf72e8acee63ea13b2626a2f1938b496fc31af8ceee0946b47ddf,ce537e444cc93109c8aef99efc53eefc54825957f4e8b827f0a9f800634bb013,cf71409fded446c27720c1c5617ad5d265e7cba65d89900d7d0133562c6eac8e,a976b26930d25acddde6436d4b7cc32b01fb68bc51ad299831d5eea54b45152c,63997fce1c713025fab03d81a7f1f456d32427a8523e731655a2d97ccf33d6d0
