workload,phase,variant,backend,device,status,n_samples,n_features,n_hidden,n_outputs,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,hvp_logit_beta1,0.0005126628288554258,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; gradient_fd_step=2e-06; hvp_fd_step=0.0001"
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,hvp_logit_beta2,-0.0007478089328327719,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; gradient_fd_step=2e-06; hvp_fd_step=0.0001"
mlp_adamw_beta_hypergradient,value_gradient,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,32,8.909346875e-05,validation_mse,0.008122494604415139,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,jvp,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,32,,directional_validation_mse_derivative,-0.02236001703823296,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,gradient_log_learning_rate,-0.07073384285786179,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,gradient_log_l2,0.0002087623454640953,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,gradient_log_weight_decay,0.0007455635493191052,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,gradient_logit_beta1,-0.0022087148336201,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,gradient_logit_beta2,0.0010485639319114644,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,hvp_log_learning_rate,0.09552382824572378,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,hvp_log_l2,0.0017286822659845617,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,hvp_log_weight_decay,-0.0005577403380382576,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,hvp_logit_beta1,0.0005126667610788743,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,fortml,cpu,pass,8,1,1,1,4,1,,hvp_logit_beta2,-0.0007478579780354831,6.360338557860525e-08,complete NumPy value/gradient/JVP/HVP arrays,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,1466111855c06ff57ee3260c60d07be9026c6fdd,gfortran,-O3,fortml_bench_adamw_beta_hypergradient
