sweep,swept_value,method,n,m,n_experts,d,train_seconds,predict_seconds,peak_kib,smse,mnlpd,fortml_commit
experts,8,pitc,1024,64,8,1,5.28119359E-01,1.72493000E-03,7844.0,1.61477968E-02,-1.92123833E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,nle,1024,64,16,1,1.83832400E-03,2.76383590E-02,6380.0,3.12473000E-02,-1.65976972E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,poe,1024,64,16,1,1.86520500E-03,2.76353130E-02,6484.0,2.32489039E-02,-1.78306908E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,gpoe,1024,64,16,1,1.95403200E-03,2.59063960E-02,6400.0,2.48123355E-02,-1.71014412E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,bcm,1024,64,16,1,2.05483200E-03,2.61045890E-02,6376.0,2.35519222E-02,-1.78586453E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,rbcm,1024,64,16,1,1.85813200E-03,2.72472920E-02,6376.0,2.49507221E-02,-9.60200728E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,grbcm,1024,64,16,1,1.91283400E-03,2.80643020E-02,6388.0,2.78372809E-02,-8.57968789E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,moe,1024,64,16,1,1.85891300E-03,2.69872820E-02,6300.0,1.08731433E-01,3.10799260E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,16,pitc,1024,64,16,1,1.40654116E-01,1.70547400E-03,7432.0,1.61476701E-02,-1.92124034E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,nle,1024,64,32,1,9.42616000E-04,2.35292270E-02,6088.0,4.56822752E-02,-1.46915161E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,poe,1024,64,32,1,9.37446000E-04,2.23298770E-02,6008.0,2.79289887E-02,-1.68996004E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,gpoe,1024,64,32,1,9.29692000E-04,2.45023900E-02,6064.0,2.76095991E-02,-1.49491642E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,bcm,1024,64,32,1,9.25744000E-04,2.27236790E-02,6144.0,2.60669083E-02,-1.73036815E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,rbcm,1024,64,32,1,9.43327000E-04,2.34465500E-02,5996.0,2.77823305E-02,-1.14710720E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,grbcm,1024,64,32,1,9.61051000E-04,2.30167710E-02,6088.0,1.15918906E-01,1.42949257E+00,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,moe,1024,64,32,1,9.34311000E-04,2.34257910E-02,6036.0,2.22783016E-01,5.14237668E-01,f654d8b65469ebd998db356cbb509a40958c0716
experts,32,pitc,1024,64,32,1,4.56726010E-02,1.80464100E-03,7324.0,1.61793752E-02,-1.91973645E+00,f654d8b65469ebd998db356cbb509a40958c0716
