workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,evaluations,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_2,0.0917285342762737,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_2,0.09172853427627392,2.220446049250313e-16,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_3,0.0406284461251023,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_3,0.0406284461251023,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_4,0.08062252307293333,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,prediction,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_4,0.08062252307293338,5.551115123125783e-17,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_dot_1,0.017626598430853235,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_dot_1,0.017626598565595022,1.3474178717221008e-10,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_dot_2,-0.07748785305072836,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_dot_2,-0.07748785316238235,1.1165399160795175e-10,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_dot_3,0.025021201693897765,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_dot_3,0.025021201793047457,9.914969192892364e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,mean_dot_4,0.017086733986038105,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,mean_dot_4,0.017086734010716108,2.467800269689846e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_dot_1,0.0018024297609997575,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_dot_1,0.0018024296695382108,9.146154666961337e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_dot_2,0.01268083443806134,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_dot_2,0.012680834474648628,3.658728875421957e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_dot_3,0.003666507181199208,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_dot_3,0.0036665071225126383,5.868656949292728e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,oracle,value_gradient_robin,numpy_oracle,cpu,pass,4,4,0,1,64,,variance_dot_4,0.033172244728874034,0.0,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,"1D RBF; coefficients=[value,d/dx]"
gp_linear_operator,operator_coefficient_jvp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,3.31578125e-06,variance_dot_4,0.03317224470643794,2.2436094648803362e-11,independent NumPy RBF operator covariance and central coefficient difference,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,exact dense CPU operator covariance
gp_linear_operator,operator_coefficient_vjp,value_gradient_robin,fortml,cpu,pass,4,4,0,1,64,,jvp_vjp_adjoint_error,0.0,0.0,operator coefficient adjoint identity,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,mean/variance cotangent pullback
gp_linear_operator,device_contract,value_gradient_robin,fortml,cuda,refused,4,4,0,1,64,,resident_operator_covariance,,,FortML typed device contract,3.14.6,2.5.1,66879d11ba7b261fab1922c7e37c67b65fee5b5c,874d4ad43290caecbbc45846877672ae0415cf21,gfortran,-O3,no host fallback; FORTNUM_NOT_IMPLEMENTED status=3
